107	8415	2
7249	5156	0
665	9981	2
20165	5210	7
2634	6622	0
118	1258	4
105	5541	7
12953	3699	3
117	6637	13
11	404	5
18193	1539	13
20068	901	5
182	4640	0
129	3491	19
15004	9807	4
2782	862	3
2482	8516	27
953	8509	12
1510	1992	2
33300	9122	2
2728	6966	23
117	9762	17
2695	9698	21
387	9374	9
10654	1689	10
102	1376	25
14	9676	21
132	8445	1
5189	2326	13
132	5844	24
155	8188	22
107	4634	5
119	6785	11
918	2386	10
146	5963	3
117	6286	7
327	7924	3
294	8892	2
379	6541	20
109	985	3
57	6580	42
109	7866	12
167	2402	2
496	2480	5
773	2979	5
163	5411	14
16	7709	1
8871	1589	3
14	3938	11
140	5606	2
22123	4957	4
12	578	12
183	2928	23
272	1361	14
22953	6265	6
104	2786	12
183	5425	4
1705	9135	7
4745	3051	9
201	8766	10
104	8269	6
7694	1278	21
127	6402	2
9988	9711	18
34398	9475	14
138	4245	7
19674	510	9
8118	7114	18
22005	4008	16
106	3994	14
1708	7151	16
101	4809	8
106	4857	1
145	8811	14
507	2536	1
121	6047	2
26375	4416	7
45	8383	15
157	7639	1
212	5920	9
12	8879	9
4563	6497	13
236	901	25
6	9423	6
625	5791	8
108	9374	2
30804	4224	10
12	9611	7
11543	7559	1
1593	2469	4
125	4120	21
128	3585	2
104	1190	17
116	7745	18
16451	1520	16
101	2858	3
31885	1772	12
305	202	20
12	5677	10
22091	7354	0
148	6427	12
14	3037	34
264	1667	11
103	4239	17
108	6098	3
14	8238	15
7835	1116	16
2589	6022	16
974	6401	7
101	586	16
261	1846	12
26683	1702	15
170	7388	5
191	9953	6
101	2633	9
14	4843	8
2226	552	19
124	1308	5
105	46	9
115	3211	0
12	6149	13
133	1139	4
162	5064	0
9200	5623	19
16026	8589	21
113	9259	6
14	9859	7
2524	3886	29
3119	5472	1
3053	1599	4
103	1966	17
14	3042	15
101	716	6
106	4976	7
133	9817	1
102	5065	11
4232	3109	2
117	6692	9
10163	3410	16
12	268	10
157	4885	10
1007	1274	10
1615	1571	17
5055	672	5
16074	4437	1
24344	7832	11
117	812	26
2945	4090	28
3372	9961	10
168	4922	22
513	3772	27
126	3991	18
132	9624	25
120	6671	1
22568	7041	6
233	4032	15
128	8614	30
2858	5972	8
115	3010	0
127	9888	16
247	6819	1
109	3354	28
208	7241	13
16	2098	5
2494	4646	18
25424	9835	11
776	5221	23
14	8814	13
412	3697	2
121	8953	9
121	6207	23
292	5250	18
198	6566	11
218	2977	0
4213	6464	20
14	1647	22
108	1978	3
13	2	4
120	4267	3
1045	7952	0
323	1255	4
122	5074	3
3123	2340	4
3355	830	21
590	3852	10
112	5555	19
592	4291	16
106	1783	8
34062	7409	7
101	7274	12
350	2199	6
236	7915	3
14	739	19
105	79	6
103	6381	7
596	7651	3
4053	2765	8
212	1860	8
6210	1314	9
5432	9916	30
133	5045	29
3088	7919	11
104	9992	7
12382	5638	4
304	3525	6
125	948	4
33791	5606	9
3387	3991	23
525	4575	2
7774	8642	6
16338	4455	6
222	4559	15
7337	3015	11
20251	970	20
16	8380	2
7038	3524	0
130	2691	0
7685	9244	22
8667	7410	17
205	8626	26
14750	4138	0
137	8823	9
11459	1738	19
9	8910	5
106	7481	15
20081	1099	13
32632	6292	10
721	5218	7
12059	1848	5
149	8626	5
3566	3772	11
251	1347	14
520	2726	14
222	3400	8
14288	789	14
102	2434	11
102	838	18
438	6718	1
6796	9340	11
132	6263	28
190	661	0
107	638	4
7606	6306	0
34491	9081	10
103	4045	19
27769	1603	12
2355	2830	6
643	2255	3
335	2209	9
275	2363	13
1488	264	13
9943	6476	2
27036	8697	7
400	7000	20
206	7063	0
101	3651	26
358	9035	0
13760	5516	9
734	5753	12
111	4632	3
8444	3705	1
57	4354	9
110	2746	2
29978	351	4
35072	1251	7
2062	8895	10
14	9543	22
15182	5429	9
3232	6657	9
104	5095	10
21	6995	7
14	1136	34
242	9785	16
12	8867	8
1035	4474	9
660	5178	3
276	1181	28
107	4753	6
300	2427	12
14	2345	14
114	4424	4
132	7572	18
103	1152	12
14	4705	31
136	4568	12
12	2278	14
12	1033	9
180	9988	16
107	4731	10
2763	7326	22
646	936	0
514	9808	1
8964	6860	11
24498	8455	7
104	6765	21
2640	311	6
146	6822	1
107	1370	10
208	7463	18
657	434	10
840	2536	33
14	5324	23
14	6179	16
172	9853	15
4122	5529	1
101	4328	5
762	906	9
778	326	14
12447	2009	19
117	9925	8
3305	9449	0
31034	8449	4
139	9500	9
545	1248	0
1994	5829	6
326	9087	0
1722	3045	7
1075	8543	17
765	4827	11
12	9472	4
102	2856	5
108	9498	17
14	2478	12
751	6133	10
371	9577	33
1776	5223	10
2189	8202	28
10216	2563	22
210	7309	0
12	8554	12
1557	5022	19
4514	6118	4
195	9707	0
152	6425	10
8968	8238	14
5091	1357	15
397	2085	14
169	8885	10
1799	2715	1
110	1883	1
10250	1165	23
29584	1132	15
9759	7724	27
14	6465	14
939	3557	1
23015	2075	9
140	9312	22
14	8227	26
1508	7208	4
3008	6255	26
110	2064	12
117	8588	8
113	3499	5
22644	3603	1
10318	2403	9
113	5894	8
8	7348	29
12	2726	12
