143	5543	4	25.42
539	107	36	71.27
110	4310	6	22.41
189	1888	3	10.31
106	803	19	9.62
5612	104	4	7.55
125	566	12	14.89
624	6873	3	32.77
3093	148	3	9.33
7491	107	3	10.39
4869	122	3	8.58
119	117	134	18.39
106	751	21	13.25
2271	104	8	9.82
110	2271	5	7.65
702	128	9	11.38
179	1608	4	14.26
1160	294	3	10.84
57	2053	7	12.86
575	275	4	10.17
881	289	3	9.02
613	124	9	7.56
3906	107	4	6.99
102	1596	17	29.7
149	2387	3	7.43
358	915	3	10.72
1646	134	4	7.09
2332	115	5	8.78
131	4784	3	10.72
2780	107	7	15.49
293	550	3	7
171	2327	3	10.32
108	3856	5	12.23
7537	3151	3	44.08
16	2237	3	7.47
522	362	3	7.95
2334	670	3	20.23
5623	612	4	43.98
250	1621	3	11.79
103	5659	4	7.8
115	433	28	49.21
3514	338	3	19.66
170	195	14	11.66
8240	106	3	7.18
2445	150	3	7.51
115	535	12	6.93
110	925	12	11.97
121	149	45	6.92
389	531	3	9.07
161	272	16	31.82
172	3274	3	12.72
270	248	11	30.57
171	989	5	13.24
8	2063	3	6.84
112	3938	4	9.27
164	1284	4	9.32
239	8315	3	26.27
297	105	43	8.25
1052	6603	3	36.32
1046	195	5	15.44
415	1179	3	12.88
102	5811	4	6.98
149	809	5	7.18
137	172	27	11.77
697	786	8	53.57
3567	123	4	12.58
297	6251	4	37.77
104	1905	11	9.19
133	832	9	17.95
2916	110	9	33.64
2038	906	3	21.17
1597	120	7	13.48
366	145	9	8.21
153	149	24	8.41
3353	867	7	83.64
6783	105	3	6.69
860	207	4	10.19
736	5360	3	29.7
311	297	4	7.01
376	4258	6	60.62
103	2200	9	6.89
101	664	37	16.72
428	411	3	7.07
257	226	6	7.55
568	338	5	17.5
1538	5260	4	52.04
127	888	8	11.92
7645	802	3	34.38
102	5190	4	6.98
85	152	10	8.49
105	1197	14	10.08
1140	110	14	26.19
2737	125	3	6.65
1436	123	5	7.18
122	1770	6	11.3
3923	149	3	11.62
1464	147	5	12.19
176	1010	4	8.6
6274	231	4	35.18
415	417	3	7.07
354	309	4	8.27
126	5219	3	12.33
105	7464	3	6.69
102	4986	5	8.73
1608	224	3	11.35
226	457	4	7.04
1102	239	4	13.92
604	1269	3	16
57	633	12	7.38
7962	6027	3	50.17
201	1113	3	7.36
5154	128	3	10.04
217	173	10	8.72
6112	57	3	8.28
432	12	47	14.49
1102	166	4	8.28
2654	102	10	17.46
147	117	61	10.55
214	104	79	11.27
1066	189	4	10.79
217	2	14	7.54
125	1224	6	7.89
179	137	24	11.01
107	7421	3	10.39
1429	1379	3	21.92
871	287	3	9.95
102	251	93	76.91
191	1255	3	7.31
634	661	3	13.15
108	4953	4	9.19
138	462	8	7.83
128	115	116	36.88
4743	117	3	7.33
128	184	37	30.19
260	833	3	7.73
1946	225	3	11.39
315	6354	4	38.53
370	258	5	12.12
103	605	28	15.72
3657	134	3	8.73
211	1149	3	7.97
432	493	4	13.1
236	844	3	6.88
454	161	7	11.05
263	751	3	7.36
279	137	12	6.7
3312	217	8	68.64
132	2922	4	11.99
105	5863	4	8.93
672	686	3	11.89
131	3832	4	15.55
730	308	3	8.76
4246	102	6	10.47
2478	4454	5	72.14
1156	909	4	27.48
1073	130	6	9.21
5145	4775	3	41.21
1432	126	5	8.23
1202	569	17	164.84
1747	161	3	7.19
244	202	8	9.72
317	195	6	7.61
101	918	29	30.03
1098	105	14	7.61
125	3722	3	7.74
3786	3147	3	35.77
5042	140	3	12.81
1968	127	7	20.65
854	127	7	7.62
257	535	4	8.86
595	210	5	11.74
5487	2505	4	57.13
12	3397	6	7.21
1624	106	11	10.05
774	155	8	20.52
101	858	28	17.92
115	1554	6	7.49
4052	214	6	50.55
5712	105	4	8.93
183	142	22	12.35
2120	370	5	33.92
601	431	3	9.19
1597	361	3	14.47
150	3797	3	11.71
333	2514	3	17.95
941	7823	3	37.14
705	620	3	11.76
103	4631	5	9.75
101	994	25	15.25
514	1102	3	14.21
1163	268	3	10.02
8418	226	3	25.72
6391	106	3	7.18
1196	750	4	24.73
185	3385	3	13.66
6815	1824	3	40.12
799	103	32	62.52
132	179	24	11.96
6013	103	4	7.8
5833	201	4	32.69
1430	155	4	9.33
336	200	11	28.39
108	6634	3	10.35
1852	1128	6	54.93
465	3381	5	44.53
116	1722	5	7.54
579	436	3	8.98
894	8153	3	35.16
381	6554	3	30.36
4129	274	6	55.5
180	297	7	7.56
148	316	9	7.93
5307	5285	4	70.59
264	1030	3	9.25
1065	105	15	7.78
6003	2669	4	57.13
6878	6879	3	54.67
103	3302	7	8.57
148	201	15	8.47
742	155	5	7.63
286	133	12	8.75
103	5326	4	7.8
180	101	191	63.66
4342	120	3	8.08
711	344	3	9.16
531	8264	3	31.85
105	228	66	13.57
2130	5238	3	37.28
546	436	3	8.62
440	6537	3	30.95
112	5927	3	8.04
246	1618	3	11.43
169	105	119	20.77
343	203	5	6.89
105	118	367	15.52
127	1968	7	20.65
5233	106	4	9.57
108	7245	3	10.35
556	106	23	7.2
4643	105	5	11.16
3356	6643	3	45.11
114	1167	7	7.81
168	2357	3	9.29
1091	109	10	8.01
154	2654	3	8.59
3842	3400	6	95.28
280	104	52	7.08
7928	148	3	19.52
2620	6264	4	57.13
106	854	17	7.25
529	267	6	18.87
4	2585	4	18.57
1598	253	3	11.98
386	7803	3	30.17
1126	301	3	10.71
134	657	7	7.53
62	418	3	7.97
773	362	3	9.79
12	628	36	14.3
660	265	5	15.71
214	1318	3	8.82
565	298	4	11.92
1238	263	3	10.3
735	124	8	7.73
1776	107	8	9.71
1078	158	4	7.59
2000	158	4	12.83
141	122	55	11.79
200	587	5	10.43
430	725	3	10.81
1776	161	4	11.93
2846	204	3	13.35
347	498	4	11.4
191	163	12	6.8
535	1671	16	173.79
1664	267	3	12.19
200	385	5	6.91
3906	348	6	58.87
188	1393	5	17.61
108	3933	4	6.94
374	362	4	9.94
116	2226	5	8.35
818	326	4	15.6
894	107	14	13.29
191	2459	3	11.27
5683	102	4	6.98
8239	153	3	20.28
2390	175	3	9.68
107	4535	4	9.24
778	104	23	10.28
125	8300	3	15.59
491	1013	4	20.8
534	217	4	7.33
501	416	3	8.11
525	199	6	12.72
389	785	9	59.47
4891	144	3	12.65
545	173	7	14.55
348	191	6	8.3
110	12	977	51.64
7637	107	3	10.39
3953	102	6	10.47
114	3458	4	11.53
104	378	41	11.89
620	234	4	8.91
101	1321	19	13.53
377	450	3	7.08
168	460	8	14.5
106	4827	5	11.96
145	304	12	12.34
112	2006	12	42.34
3702	4605	3	38.38
21	1003	20	117.12
540	322	3	6.88
1942	138	4	9.05
274	827	3	8.15
394	131	14	18.71
7500	106	3	7.18
5657	106	4	9.57
172	1162	4	9.5
1451	496	4	23.96
629	101	37	14.43
320	1552	4	20.92
102	1855	12	11.63
785	8068	3	35.38
1199	518	3	14.39
120	135	68	10.68
106	344	41	17.71
645	8377	3	32.91
825	313	4	14.77
104	2884	7	8.18
373	274	4	7.35
399	647	3	9.01
106	6503	3	7.18
2220	103	9	6.89
124	1956	14	72.81
4242	154	3	12.22
12	129	415	29.72
6246	121	3	10.75
9	3351	3	10.41
199	170	15	15.03
174	836	5	10.59
937	114	9	10.91
105	5409	4	8.93
1120	533	3	13.97
1852	5521	3	35.62
185	1528	3	7.81
887	103	18	7.02
744	133	6	6.96
5853	120	4	19.25
5218	152	3	15.68
113	106	393	13.35
116	6139	3	9.63
102	910	20	8.74
146	135	34	15.59
108	2267	6	7.5
387	157	7	7.45
212	1391	4	14.54
844	7601	3	34.76
589	1064	3	14.72
191	2088	3	10.7
