5356	3579	2
115	5615	9
548	1851	4
6828	5151	0
281	9306	16
1201	5107	22
774	5889	13
12440	3665	10
12	132	24
13586	6261	44
24841	1925	1
102	2313	8
3162	9067	23
369	2746	3
6470	8290	9
33395	5681	4
202	8725	2
155	2320	5
298	4245	18
231	9513	3
5131	2607	15
1613	3808	12
101	5082	33
14	3254	34
5882	6119	22
15004	8769	10
101	1432	43
332	5996	21
118	5826	6
20678	1466	1
1433	2378	2
14	8558	17
1628	3607	14
160	9403	18
116	4455	17
103	8453	4
145	2826	15
114	7778	6
4513	8899	0
132	3713	15
14	8189	42
115	1280	11
26734	9929	6
12	3309	9
2329	182	10
12	5696	4
2565	4167	29
112	9567	5
101	6340	9
374	553	18
576	8457	17
163	2007	18
3417	2115	20
2923	6754	12
105	2561	8
32052	1397	25
119	6027	16
104	9376	12
102	4451	5
8648	25	16
16666	1687	0
5561	9212	1
5158	8412	10
18680	5405	18
101	5739	12
101	3270	1
166	3939	0
2797	4632	11
270	4253	18
32306	6015	19
18648	927	11
252	2159	8
16023	4302	24
85	7320	26
4286	4102	12
11905	8630	3
395	212	8
125	9336	6
195	7912	4
279	2228	5
126	2777	2
12	1129	18
104	1327	23
122	8405	17
13648	1534	9
12	7969	3
1381	5312	5
12	7654	3
12	133	12
115	9708	26
28046	6135	12
8279	6626	21
101	175	16
103	1575	23
32358	4678	12
4375	5021	22
119	4290	16
9573	2372	17
1727	5480	5
141	8985	22
104	7940	12
20831	2731	16
3977	6914	5
1593	6086	23
101	750	6
86	3629	26
705	5151	6
2439	2188	15
3727	2151	17
5729	339	20
14	3512	38
203	254	3
1203	8121	19
102	1705	29
667	1376	15
2367	2141	36
118	398	8
3704	7744	21
103	1164	13
118	6092	2
106	1552	17
101	8039	5
26632	1281	29
652	9243	5
307	6852	0
15639	5124	18
3671	1792	4
16	1342	6
1494	8750	10
835	535	11
3565	7839	24
278	5599	22
101	6888	17
105	5291	3
365	4191	15
14	2411	21
105	3590	14
632	6267	35
442	7420	1
120	775	18
27895	3215	9
2250	4049	10
104	1404	32
2981	1434	15
149	7844	14
2001	424	15
265	2702	28
3387	7027	18
8	4903	16
102	481	9
1168	3581	8
103	2724	10
682	2478	19
103	6087	5
135	8900	31
1760	399	7
1264	2141	34
1671	9384	1
14	8871	21
6924	6044	0
5842	5393	8
119	3689	15
203	8786	16
102	9696	18
602	8616	36
7938	879	2
12	7073	7
107	2589	6
126	9462	12
4505	5847	19
101	1192	22
918	6999	27
8841	5890	8
103	1035	15
4285	8076	5
129	1128	5
101	1357	10
20493	4644	0
1030	7527	17
223	5115	4
1374	2198	0
12	7727	7
2855	2778	4
1274	7511	2
33438	9073	7
24676	4102	26
4661	8031	9
323	8493	2
129	2758	20
19598	974	9
124	3316	7
12	6725	15
219	4207	7
111	8208	1
102	8751	4
113	3268	14
107	3538	16
26322	6919	11
6955	9041	14
119	8235	15
7	6539	27
205	5087	10
13032	72	12
111	7738	1
621	6491	27
14	179	41
9091	617	13
102	7173	4
2647	6923	29
106	7356	8
108	5239	29
57	3613	15
12523	3722	14
34804	6034	4
115	1388	17
25193	7862	0
113	3495	4
102	7748	18
277	2199	17
297	7028	7
521	2834	20
122	7700	9
62	4356	12
147	4967	13
2328	2930	16
27888	3676	18
138	4574	23
16475	844	4
5527	7670	4
6292	8323	1
14	2444	12
7957	2438	29
2267	7785	3
640	555	34
104	7011	17
130	7467	5
104	4162	20
9571	8166	13
102	1039	18
924	8613	17
584	1713	19
12858	6448	28
4836	6505	25
775	8512	19
14	3021	26
34317	5471	11
24461	5629	15
722	1605	3
163	9939	10
990	2387	1
136	4213	17
22920	6901	22
4919	7608	14
104	3717	17
11625	6565	28
104	2222	15
4283	3384	13
1044	1111	2
3595	5006	11
117	4103	9
107	4183	18
741	1325	17
102	7716	9
1905	7555	1
28467	4160	16
218	4937	6
106	7837	5
341	4802	14
807	8054	1
2546	1559	23
161	9755	6
1626	890	1
26798	9661	12
342	7048	1
115	7173	13
104	777	28
6520	1524	2
338	8838	18
102	3561	23
112	787	9
2849	7880	3
16963	7503	24
10065	3046	3
101	896	25
135	9	3
202	181	16
22335	567	23
1304	357	20
104	7891	40
106	4566	8
3192	8394	23
2302	274	10
12	2763	2
3211	5600	9
110	9465	22
252	7713	3
15	626	7
14	975	23
101	8270	20
246	6822	8
486	4519	9
8990	1705	0
22450	8118	9
707	8946	18
803	6170	14
12	5058	5
129	8822	42
104	3586	19
2226	235	14
1718	8209	18
141	6320	3
2	5561	0
136	3002	2
1731	7507	0
101	5571	7
105	3111	3
14	4583	21
445	5004	11
10601	1454	5
121	2708	10
103	3338	19
114	2219	15
1485	2473	12
2531	4162	32
228	820	0
711	2461	11
105	5197	14
104	7497	27
118	8734	39
351	6804	12
104	1537	10
573	7905	4
1784	1490	3
646	7977	28
1430	4985	10
12454	7975	1
101	9068	8
103	5069	22
131	7339	11
953	4164	18
1605	7838	24
1168	8117	17
16378	2367	14
12	5258	17
33569	7182	31
12	4769	15
820	8862	1
1088	6493	20
734	4442	13
139	4539	5
272	7609	8
3560	2560	13
34715	4561	8
101	520	11
173	3832	6
693	4285	11
2617	1239	7
108	9142	13
501	8424	15
858	1855	6
2878	1444	10
6023	3491	4
16	7157	2
14	3508	39
2005	6956	12
104	6188	3
116	3173	17
14	7973	30
18798	2527	0
102	810	8
111	7096	0
