539	107	20	118.23
189	1888	3	27.05
125	566	5	23.62
101	3305	3	8.05
1160	104	3	5.66
106	751	9	33.22
2780	107	6	44.34
446	102	15	43.84
2334	670	3	38.44
102	1416	3	6.06
121	261	4	10.25
101	2090	4	9.03
12	2378	4	11.25
115	535	5	19.99
109	1871	5	28.98
137	221	3	7.35
105	359	10	22.18
102	3891	3	13.62
111	313	5	12.62
122	1059	3	14.74
2822	103	4	17.81
102	5811	3	17.33
105	529	4	5.1
697	786	6	71.37
532	103	7	13.46
836	106	5	13.33
657	14	5	3.95
601	114	3	9.61
101	664	12	25.28
109	1030	5	21.99
108	127	13	5.07
1041	108	3	9.88
105	1121	4	10.56
182	795	3	20.61
108	221	5	5.82
102	2946	5	24.14
108	286	4	5.93
132	427	3	11.71
124	369	3	8.84
101	4452	4	19.27
432	12	8	7.23
2654	102	9	58.89
214	104	9	5.87
107	1274	5	23.71
128	115	32	86.24
5729	104	3	18.08
411	102	7	9.51
1946	225	3	29.33
103	605	8	19.52
4267	12	3	10.73
226	153	3	9.7
132	2922	3	24.08
102	451	12	30.04
1156	909	4	50.15
162	109	9	9.73
101	918	28	160.7
1098	105	7	26.64
1624	106	3	9.26
2	467	3	11.13
115	1554	3	15.75
101	1070	4	4.29
132	179	7	21.14
344	114	5	15.75
8264	103	3	22.45
102	4935	3	15.15
101	7778	3	18.13
148	201	4	12.68
170	525	4	25.35
169	105	44	115.55
280	104	6	4.04
134	657	6	37.03
240	115	3	4.25
1996	117	3	17.92
102	1265	7	24.83
116	2226	3	18.32
894	107	9	47.38
778	104	7	18.86
137	877	3	16.31
101	1169	7	15.64
101	1321	5	9.23
12	2994	3	7.86
128	1636	3	19.2
105	2580	3	11.6
505	105	6	11.33
1451	496	4	47.37
102	1855	5	18.53
106	411	5	7.28
399	647	3	26.71
104	2680	3	10.64
12	6337	4	25.04
165	145	3	5.23
12	198	21	14.21
887	103	15	71.4
600	101	6	4.64
1186	135	3	18.41
102	910	9	29.81
250	14	25	42.13
1298	14	5	9.89
387	157	4	21.63
126	1263	3	17.02
554	185	3	18.68
134	1507	3	19.64
12	1548	4	7.65
481	687	6	65.31
139	344	3	11.38
57	382	11	51.72
3009	12	3	8.64
203	119	4	6.39
295	124	3	7.63
109	141	13	12.54
1177	12	5	8.83
101	482	12	18.74
105	1815	3	9.01
316	119	6	21.57
246	102	18	33.14
331	510	3	24.34
1207	107	3	10.71
267	12	12	8.22
1952	102	6	24.86
1037	103	3	4.96
3224	147	4	38.88
207	114	4	5.78
1695	108	3	12.85
113	408	4	11.69
105	5604	4	31.39
124	876	3	13.83
528	108	3	6.02
681	2132	11	184.3
175	224	7	38.8
126	241	3	6.48
890	112	17	129.98
3331	14	3	9.72
4189	110	5	42.59
106	243	7	6.65
140	138	12	36.41
1749	118	3	16.98
379	101	8	4.65
157	181	3	7.63
5949	941	3	49.38
58	126	3	5.61
1333	102	3	5.78
116	128	43	143.93
105	1042	3	5.86
237	168	3	11.58
140	124	26	92.06
352	173	3	14.99
106	146	21	17.23
577	104	4	4.71
103	1343	5	15.64
101	3834	5	24.91
151	171	3	6.09
918	12	9	22.21
1616	104	4	12.61
1339	119	3	15.27
126	144	10	21.63
1267	102	4	9.5
113	1337	3	14.06
110	389	11	46
767	387	3	27.72
101	1421	6	13.87
258	744	9	94.73
110	567	6	21.85
1368	101	6	13.23
377	116	3	7.56
12	4686	4	20.13
122	561	4	16.54
992	120	3	13.65
1774	101	4	7.88
4748	103	4	24.98
105	887	16	84.71
1165	14	5	9.03
106	3778	3	16.03
1115	103	18	108.04
109	471	4	9.64
198	103	41	115.14
109	538	3	6.29
106	3718	4	24.76
133	181	5	12.34
427	105	4	3.95
105	1862	3	9.43
163	107	28	82.06
1875	12	4	9.18
157	1214	3	21.6
57	468	9	42.39
101	4726	4	19.27
106	1152	4	11.75
6265	931	3	49.15
6041	153	3	33.81
146	180	3	6.12
2301	102	8	45.34
4312	115	3	23.16
193	129	3	4.69
109	170	11	16.56
438	108	4	8.82
101	574	12	22.15
109	220	16	51.89
410	325	9	90.06
310	14	15	21.24
511	248	4	31.31
220	366	7	55.81
123	2779	3	21.69
1233	3387	3	46.16
242	120	7	22.14
4807	106	4	27.36
109	1489	5	26.03
119	2374	3	19.2
935	14	6	10.3
101	1164	5	7.93
253	366	5	38.37
1094	112	12	87.45
105	834	14	65.67
131	738	8	54.65
1271	14	4	6.27
112	5360	3	25.64
105	782	6	16.17
57	1187	6	35.41
302	134	3	9.98
165	12	41	45.36
134	204	5	15.43
134	319	4	16.05
101	3971	3	10.11
129	1381	3	18.11
394	115	15	86.17
319	57	5	14.01
105	324	75	542.27
6187	102	4	29.03
12	2465	3	7.19
101	1782	3	4.32
148	158	3	4.99
500	12	13	25.45
1687	102	3	7.03
578	259	4	32.98
762	103	4	6.35
380	14	13	19.49
208	1382	3	26.33
2620	103	4	16.76
640	196	4	29.44
455	120	4	14.28
125	101	193	339.69
783	14	5	5.46
138	105	51	91.58
113	755	6	29.46
350	14	11	11.79
112	190	9	19.05
370	103	7	9.42
2716	14	3	8
124	142	32	129.18
1341	108	3	11.46
114	410	3	7.69
102	2794	3	10.64
132	194	4	9.26
486	102	7	11.46
13	137	5	16.96
105	1348	3	7.31
650	107	3	6.88
2701	12	3	7.19
108	143	17	22.73
734	12	6	7.53
354	102	40	187.36
108	189	6	5.55
159	202	3	9.4
118	403	53	500.29
2595	12	3	7.19
869	1998	4	55.07
153	104	15	4.43
115	1210	3	14.12
262	105	10	15.16
724	129	3	13.81
375	106	6	9.67
482	14	6	4.08
113	1010	3	12.44
375	231	3	19.4
599	14	10	18.07
285	250	7	54.73
101	2549	5	16.86
301	2539	4	48.77
105	2818	6	35.75
175	703	3	19.22
3986	121	3	24.61
347	106	6	8.74
107	547	7	25.37
3848	3381	5	102.68
105	526	5	8.19
1454	12	3	3.9
101	1935	3	4.68
395	12	7	4.19
101	2107	3	5.09
447	344	4	33.94
785	106	6	17.45
101	4295	3	10.11
279	105	13	27.76
124	214	3	4.92
156	172	11	51.81
1092	108	3	10.35
1546	107	3	12.29
275	575	4	33.55
443	12	8	7.42
4240	107	3	19.61
108	388	3	4.53
101	884	6	8.64
101	7047	3	18.13
111	539	7	29.17
196	104	11	6.77
4383	12	3	12.23
101	7812	3	18.13
4314	229	3	37.35
110	691	5	18.17
101	1861	4	8.42
2643	1144	4	60.24
679	14	11	23.81
105	5040	3	16.89
174	110	7	7.17
2393	14	11	69.42
248	387	11	103.76
2010	105	3	9.9
418	103	5	5.15
135	116	31	96.68
1113	101	7	15.03
2288	101	4	10.46
796	14	5	5.68
101	3403	3	8.97
5360	14	4	25.24
184	136	25	143.66
144	179	16	82.66
7128	103	3	22.45
429	14	9	9.82
565	436	5	49.43
184	262	3	13.67
137	254	3	8.46
546	12	8	9.87
325	104	6	5.73
105	500	8	19.32
835	232	3	24.1
115	399	3	7.62
12	2133	3	6.09
215	341	3	18.01
205	132	4	10.38
334	732	3	26.39
753	2282	3	39.4
170	163	5	17.14
579	12	6	5.33
101	781	9	17.09
160	942	3	20.57
2540	103	9	60.9
2671	14	3	7.32
194	142	4	10.93
1753	14	3	4.96
720	135	3	14.86
12	1685	3	4.5
115	6142	3	26.95
2561	14	3	7.32
2060	101	3	5.09
3615	14	3	9.72
101	4482	4	19.27
109	417	4	8.81
133	4	4	6.94
345	110	6	16.32
198	123	10	33.28
727	108	5	17.77
182	315	5	30.37
105	1677	5	19.8
316	150	3	12.34
2198	103	12	89.81
1027	106	3	6.47
124	974	3	14.67
988	12	4	4.45
114	787	7	38.4
103	522	5	6.75
163	119	12	31.2
139	339	4	17.42
105	3526	3	14.14
535	173	3	17.34
3967	102	3	13.62
105	3578	5	30.94
140	242	4	13.84
494	132	5	25.95
875	107	7	32.38
113	1350	3	14.06
102	2064	9	49.5
2949	1472	3	45.27
200	672	3	20.84
364	104	6	6.63
1931	150	4	33.87
897	103	3	4.24
1316	14	4	6.62
148	985	6	46.83
169	890	3	20.61
122	592	7	37.9
1196	1150	3	37.61
760	1432	3	35.72
136	241	9	42.92
122	138	8	10.17
105	829	11	45.21
2088	14	3	5.76
16	7	26	163.5
1038	14	5	7.92
131	615	6	34.7
102	3538	4	19.63
273	372	8	72.24
101	4016	3	10.11
12	57	88	15.22
122	2925	3	21.5
228	348	4	27.23
102	1637	10	51.75
1239	510	15	228.15
1942	102	4	12.82
195	171	3	9.48
103	197	13	10.77
139	591	3	14.43
129	57	11	8
1347	102	3	5.78
103	6455	3	22.45
101	2817	4	12.31
487	380	4	35.54
101	6641	3	18.13
101	527	8	8.1
143	140	4	5.2
1321	106	4	12.88
427	424	3	24.73
102	2153	3	8.76
457	226	3	20.32
152	192	7	29
476	108	3	5.55
102	1033	16	82.06
4931	106	4	27.36
1881	106	4	15.93
2061	14	3	5.76
4016	103	3	14.27
12	1523	3	3.9
2402	110	3	16.02
263	123	4	10.49
2255	14	3	6.22
743	858	9	119.98
1147	14	4	5.64
2179	106	3	11.07
1264	12	4	6.11
105	8204	3	23.54
193	160	3	8.98
143	171	6	17.76
101	532	8	8.1
3994	107	3	19.61
105	601	5	9.25
1235	12	6	13.78
534	104	4	4.11
122	177	5	7.93
110	171	11	18.24
963	12	6	10.84
136	144	39	208.63
109	1587	9	61.37
17	119	4	9.55
924	106	3	5.88
1096	14	4	5.36
576	108	3	6.44
175	355	5	30.73
417	105	6	9.58
101	4121	5	24.91
119	856	3	12.39
2637	101	3	6.61
373	248	5	38.32
126	170	4	5.76
107	950	4	14.65
107	1102	3	10.19
106	176	11	7.16
2182	14	3	6.22
104	3018	4	19.14
125	1096	3	15.42
110	2831	4	26.1
127	1332	3	17.46
1974	13	3	29.66
181	141	4	9.67
149	113	15	31.43
116	204	4	6.12
101	1379	7	18.5
110	419	5	13.86
136	390	3	11.49
1081	12	5	8.44
101	1499	5	10.25
130	180	8	24.12
237	126	4	10.46
106	3029	3	13.84
168	139	25	139.83
3394	12	5	23.11
427	191	3	17.63
534	1106	3	31.93
105	1680	5	19.8
119	3307	3	21.48
1454	1975	3	42.68
101	180	110	353.49
355	363	3	22.61
101	278	20	27.79
123	257	59	493.08
120	1268	5	30.88
172	129	4	6.32
453	133	3	12.28
913	14	11	32.49
2345	531	4	52.33
2006	112	11	99.37
139	176	3	5.16
101	3093	4	13.49
2153	14	3	6.22
1854	121	3	18.44
784	108	3	8.17
101	613	6	4.82
101	681	12	25.86
3553	14	4	15.94
101	784	8	13.42
1054	2274	5	76.28
221	3693	4	48.73
402	14	12	17.84
108	101	415	648.38
85	133	3	7.83
127	903	4	22.29
2323	101	3	6.04
114	132	38	124.77
106	1953	3	10.09
217	239	8	56.3
12	7787	3	18.78
230	2992	3	32.67
124	416	3	9.58
1570	12	3	4.19
2887	102	5	24.14
102	130	31	9.13
128	236	3	6.66
101	3234	3	8.05
2841	12	3	7.86
119	109	113	376.96
594	12	6	5.52
12	961	11	32.87
102	1467	13	73.38
200	213	13	95.35
489	12	6	4.04
1313	104	3	6.42
105	2636	5	25.58
111	3081	3	19.19
796	144	4	25.04
12	2299	7	29.76
4723	101	3	11.6
170	152	9	37.09
180	370	4	23.58
115	404	3	7.7
237	676	6	54.25
137	101	42	8.87
1183	101	4	5.11
1852	14	3	5.34
105	410	8	16.57
137	240	4	12.76
111	268	26	139.8
